StockCode,Recency,Frequency,Monetary,Recency_Neglog,Frequency_Neglog,Monetary_Neglog,Recency_Scaled,Frequency_Scaled,Monetary_Scaled
16225,494,95,-0.046093,6.204557763,4.564348191,-0.045062271,9.899014466,5.866251847,4.796468662
16235,497,174,-0.004453684,6.210600077,5.164785974,-0.004443796,9.838911626,6.621025743,5.082782405
16236,500,137,-0.00263683,6.216606101,4.927253685,-0.00263336,9.779169766,6.322438318,5.095543904
16237,497,301,-0.006814601,6.210600077,5.710427017,-0.006791487,9.838911626,7.306917983,5.06623387
16238,494,127,-0.000313333,6.204557763,4.852030264,-0.000313284,9.899014466,6.227879521,5.111897785
16254,617,14,-0.046099022,6.426488457,2.708050201,-0.045068029,7.691472129,3.532812302,4.796428078
16259,506,36,0.000399623,6.228511004,3.610917913,0.000399543,9.660751824,4.667752507,5.116922399
17001,1156,1,0,7.053585727,0.693147181,0,1.453742045,1,5.114106077
17003,500,257,-0.043910658,6.216606101,5.552959585,-0.04297391,9.779169766,7.108975231,4.811189222
17021,494,52,-0.005112571,6.204557763,3.970291914,-0.005099546,9.899014466,5.119499753,5.078160114
17038,504,37,-0.010197707,6.224558429,3.63758616,-0.010146061,9.70006804,4.701275542,5.042587964
17096,500,36,-0.001137296,6.216606101,3.610917913,-0.00113665,9.779169766,4.667752507,5.106093999
17174,820,2,-4.49E-05,6.710523109,1.098612289,-4.49E-05,4.866182371,1.50968558,5.113789401
18007,497,29,-0.003146812,6.210600077,3.401197382,-0.003141871,9.838911626,4.404125556,5.091959483
20615,494,99,-0.064261648,6.204557763,4.605170186,-0.062281271,9.899014466,5.917566699,4.675094434
20616,501,77,-0.047438589,6.21860012,4.356708827,-0.046347745,9.759335284,5.605241003,4.787407545
20617,494,50,-0.024209254,6.204557763,3.931825633,-0.023920856,9.899014466,5.071146126,4.945491436
20618,494,97,-0.058691007,6.204557763,4.584967479,-0.057033246,9.899014466,5.892171102,4.712087
20619,494,116,-0.074860957,6.204557763,4.762173935,-0.072191311,9.899014466,6.114926583,4.605239998
20622,501,60,-0.018997396,6.21860012,4.110873864,-0.018819199,9.759335284,5.296216792,4.981452271
20652,494,83,-0.050221354,6.204557763,4.430816799,-0.049000956,9.899014466,5.698397637,4.768705449
20653,503,42,-0.040178019,6.222576268,3.761200116,-0.039391871,9.719784577,4.856663144,4.836438495
20654,494,53,-0.000631651,6.204557763,3.988984047,-0.000631452,9.899014466,5.142996499,5.109655064
20655,494,115,0.003509866,6.204557763,4.753590191,0.003503721,9.899014466,6.10413648,5.138803298
20657,501,35,-0.021854663,6.21860012,3.583518938,-0.021619274,9.759335284,4.63331092,4.961714953
20658,496,126,-0.064204492,6.208590026,4.844187086,-0.062227564,9.858905582,6.218020338,4.675473002
20659,494,66,-0.033365423,6.204557763,4.204692619,-0.032820877,9.899014466,5.414150655,4.882756476
20661,538,29,0.389227391,6.289715571,3.401197382,0.328747759,9.051950623,4.404125556,7.431401338
20662,494,24,-0.048148083,6.204557763,3.218875825,-0.047024876,9.899014466,4.174940192,4.782634547
20663,505,27,-0.022567745,6.226536669,3.33220451,-0.022316861,9.680390507,4.317398804,4.956797761
20664,496,17,-0.043767645,6.208590026,2.890371758,-0.042836903,9.858905582,3.761997666,4.812154964
20665,494,173,0.174140569,6.204557763,5.159055299,0.160536449,9.899014466,6.613822059,6.24570422
20666,505,15,-0.004091087,6.226536669,2.772588722,-0.004082742,9.680390507,3.61393976,5.085327423
20667,520,18,-0.024859571,6.255750042,2.944438979,-0.024555599,9.389805392,3.829962289,4.941017221
20668,497,184,-0.000934517,6.210600077,5.220355825,-0.00093408,9.838911626,6.69087923,5.10752188
20669,497,83,-0.055784579,6.210600077,4.430816799,-0.054284167,9.838911626,5.698397637,4.731464857
20670,505,12,-0.004102513,6.226536669,2.564949357,-0.004094121,9.680390507,3.352928917,5.085247215
20671,508,1,0.080636777,6.232448017,0.693147181,0.077550476,9.621590396,1,5.660748131
20674,494,247,-0.019301532,6.204557763,5.513428746,-0.019117621,9.899014466,7.059283412,4.979348742
20675,494,386,-0.012991949,6.204557763,5.958424693,-0.012908278,9.899014466,7.61866081,5.023117498
20676,494,526,-0.047322097,6.204557763,6.267200549,-0.046236523,9.899014466,8.006804199,4.788191533
20677,494,388,-0.001870789,6.204557763,5.963579344,-0.001869042,9.899014466,7.625140409,5.100931474
20678,949,1,0,6.856461985,0.693147181,0,3.414529883,1,5.114106077
20679,497,335,0.061027961,6.210600077,5.81711116,0.059238213,9.838911626,7.441024144,5.531667646
20681,497,52,0.408366516,6.210600077,3.970291914,0.342430533,9.838911626,5.119499753,7.52784923
20682,494,258,0.116446811,6.204557763,5.556828062,0.110151152,9.899014466,7.113838058,5.89054557
20684,507,47,1,6.230481448,3.871201011,0.693147181,9.641151838,4.994938594,10
20685,495,784,0.240564969,6.206575927,6.665683718,0.215566896,9.878939808,8.507713207,6.633605856
20686,497,69,0.049208051,6.210600077,4.248495242,0.048035643,9.838911626,5.469212273,5.452702355
20694,497,15,0.144243874,6.210600077,2.772588722,0.134744047,9.838911626,3.61393976,6.063897314
20695,509,4,0.098671593,6.234410726,1.609437912,0.094101807,9.602067349,2.151813469,5.777416064
20696,494,27,0.237872739,6.204557763,3.33220451,0.213394373,9.899014466,4.317398804,6.618292059
20697,820,9,0.233829153,6.710523109,2.302585093,0.210122466,4.866182371,3.023126723,6.595228857
20698,743,9,-0.012826706,6.612041035,2.302585093,-0.012745141,5.845782553,3.023126723,5.024267427
20699,494,44,0.019530321,6.204557763,3.80666249,0.019342052,9.899014466,4.913811135,5.250445393
20700,496,57,0.128226954,6.208590026,4.060443011,0.120647333,9.858905582,5.232823226,5.964531625
20701,494,22,0.340297902,6.204557763,3.135494216,0.292891904,9.899014466,4.070126232,7.178658622
20702,508,57,0.068486747,6.232448017,4.060443011,0.066243392,9.621590396,5.232823226,5.58104614
20703,509,4,1,6.234410726,1.609437912,0.693147181,9.602067349,2.151813469,10
20704,495,46,0.177406721,6.206575927,3.850147602,0.163314326,9.878939808,4.968473631,6.265285068
20705,495,30,0.185669273,6.206575927,3.433987204,0.170307402,9.878939808,4.445343652,6.31457825
20707,503,182,0.000490113,6.222576268,5.209486153,0.000489993,9.719784577,6.677215625,5.117559969
20711,496,605,0.289415557,6.208590026,6.406879986,0.254189059,9.858905582,8.182386742,6.905847881
20712,494,968,0.048438899,6.204557763,6.876264612,0.047302295,9.899014466,8.772421669,5.447533092
20713,497,705,0.271676337,6.210600077,6.559615237,0.240335981,9.838911626,8.374380958,6.808199541
20716,500,101,-0.02030328,6.216606101,4.624972813,-0.020099916,9.779169766,5.94245938,4.972424683
20717,494,467,-0.05166111,6.204557763,6.148468296,-0.050370924,9.899014466,7.85755309,4.759048741
20718,494,633,-0.039590797,6.204557763,6.452048954,-0.038827171,9.899014466,8.239165911,4.840418979
20719,494,903,-0.028080829,6.204557763,6.80682936,-0.027693791,9.899014466,8.685138828,4.918896562
20723,494,809,-0.003065607,6.204557763,6.697034248,-0.003060917,9.899014466,8.547122055,5.092530115
20724,494,1085,-0.024753772,6.204557763,6.9902565,-0.024452361,9.899014466,8.915713954,4.94174493
20725,494,1759,-0.039845552,6.204557763,7.473069088,-0.039072194,9.899014466,9.522628355,4.838691847
20726,494,1109,-0.021713066,6.204557763,7.012115294,-0.021480695,9.899014466,8.943191317,4.962691773
20727,494,1374,0.027238488,6.204557763,7.22620901,0.026874122,9.899014466,9.212315533,5.303537864
20728,494,1241,-0.036531937,6.204557763,7.124478262,-0.035880465,9.899014466,9.084435985,4.861189883
20731,576,26,0.027675319,6.357842267,3.295836866,0.027299279,8.374295083,4.271683246,5.306534737
20733,494,214,-0.014746202,6.204557763,5.370638028,-0.014638534,9.899014466,6.879789867,5.010921176
20734,494,37,0.01058831,6.204557763,3.63758616,0.010532647,9.899014466,4.701275542,5.188349175
20735,494,134,-0.048513707,6.204557763,4.905274778,-0.047373644,9.899014466,6.294809969,4.780176129
20748,496,32,0.339799405,6.208590026,3.496507561,0.292519905,9.858905582,4.523934198,7.176036455
20749,500,396,0.211926727,6.216606101,5.983936281,0.192211429,9.779169766,7.650729879,6.468976558
20750,496,407,0.104475126,6.208590026,6.011267174,0.099370223,9.858905582,7.685085887,5.814552364
20751,494,228,-0.010302487,6.204557763,5.433722004,-0.010249778,9.899014466,6.959088904,5.041856879
20752,495,174,-0.023659824,6.206575927,5.164785974,-0.023384268,9.878939808,6.621025743,4.949273761
20754,494,349,-0.051797197,6.204557763,5.857933154,-0.050500317,9.899014466,7.492338996,4.758136665
20755,496,58,-0.007466899,6.208590026,4.077537444,-0.007439159,9.858905582,5.254311601,5.061668522
20756,530,26,1,6.274762021,3.295836866,0.693147181,9.200693428,4.271683246,10
20757,501,27,0.009821932,6.21860012,3.33220451,0.00977401,9.759335284,4.317398804,5.183001659
20758,508,49,-0.008949906,6.232448017,3.912023005,-0.008910092,9.621590396,5.046253445,5.051300127
20759,508,20,-0.015369359,6.232448017,3.044522438,-0.015252447,9.621590396,3.95577113,5.006593788
20760,508,21,0.000665824,6.232448017,3.091042453,0.000665603,9.621590396,4.014248619,5.118797815
20761,501,61,0.321695258,6.21860012,4.127134385,0.278915199,9.759335284,5.316656906,7.080138855
20762,501,53,0.426968636,6.21860012,3.988984047,0.355552359,9.759335284,5.142996499,7.620343078
20763,501,24,0.11915581,6.21860012,3.218875825,0.11257466,9.759335284,4.174940192,5.907628522
20764,501,76,0.395647336,6.21860012,4.343805422,0.333358348,9.759335284,5.589020916,7.46390071
20765,495,53,0.114103655,6.206575927,3.988984047,0.108050185,9.878939808,5.142996499,5.875736156
20766,500,60,0.30155007,6.216606101,4.110873864,0.263555916,9.779169766,5.296216792,6.971873493
20767,494,79,0.020272609,6.204557763,4.382026635,0.020069855,9.899014466,5.637066483,5.255575573
20768,498,53,-0.060998459,6.212606096,3.988984047,-0.059210407,9.818957778,5.142996499,4.696740504
20769,524,30,0.195732158,6.263398263,3.433987204,0.178758682,9.313728618,4.445343652,6.374150096
20770,494,81,-0.058164804,6.204557763,4.406719247,-0.05653609,9.899014466,5.668106068,4.715591376
20771,503,38,0.155038564,6.222576268,3.663561646,0.144133732,9.719784577,4.73392775,6.130083848
20772,503,60,0.148539758,6.222576268,4.110873864,0.13849136,9.719784577,5.296216792,6.090311581
20773,508,26,0.014453946,6.232448017,3.295836866,0.014350483,9.621590396,4.271683246,5.215260552
20774,506,42,-0.034792543,6.228511004,3.761200116,-0.034200965,9.660751824,4.856663144,4.873028432
20775,494,59,-0.061576018,6.204557763,4.094344562,-0.059754613,9.899014466,5.275438809,4.692904477
20777,503,67,-0.007241613,6.222576268,4.219507705,-0.007215519,9.719784577,5.4327738,5.063244931
20778,508,11,-0.057982998,6.232448017,2.48490665,-0.056364263,9.621590396,3.252312087,4.716802562
20780,496,20,0.387438984,6.208590026,3.044522438,0.32745959,9.858905582,3.95577113,7.422321225
20781,500,25,0.17801778,6.216606101,3.258096538,0.163833178,9.779169766,4.22424217,6.268942384
20782,501,29,0.162825711,6.21860012,3.401197382,0.150853001,9.759335284,4.404125556,6.177446994
20785,656,9,0.023826453,6.487684018,2.302585093,0.023547033,7.082760514,3.023126723,5.280085697
20793,964,3,0.177909342,6.872128101,1.386294361,0.163741123,3.258699181,1.871313253,6.268293497
20794,500,39,0.289914753,6.216606101,3.688879454,0.254576133,9.779169766,4.76575323,6.908576308
20795,565,12,-0.117584298,6.338594078,2.564949357,-0.111169479,8.565756614,3.352928917,4.330488547
20796,603,5,-0.00469526,6.403574198,1.791759469,-0.004684271,7.919400033,2.380998833,5.081087328
20798,507,6,0.044069869,6.230481448,1.945910149,0.043126411,9.641151838,2.574772297,5.418097895
20801,494,131,-0.032985157,6.204557763,4.882801923,-0.032452822,9.899014466,6.266560705,4.885350845
20802,494,75,0.002815124,6.204557763,4.33073334,0.002811169,9.899014466,5.572588796,5.133921598
20803,500,64,-0.021536016,6.216606101,4.17438727,-0.021307392,9.779169766,5.376055639,4.963913359
20816,616,2,1,6.424869024,1.098612289,0.693147181,7.707580618,1.50968558,10
20818,500,7,0.253604438,6.216606101,2.079441542,0.226022953,9.779169766,2.742626507,6.707309081
20819,510,28,0.372620322,6.23636959,3.36729583,0.316721557,9.582582544,4.361509973,7.346630383
20820,1155,1,1,7.052721049,0.693147181,0.693147181,1.462342988,1,10
20821,594,9,0.089821106,6.388561406,2.302585093,0.08601356,8.068732124,3.023126723,5.720403181
20823,589,14,0.023487427,6.380122537,2.708050201,0.023215842,8.152673463,3.532812302,5.277751179
20826,504,13,-0.017003399,6.224558429,2.63905733,-0.016860459,9.70006804,3.446085551,4.995259147
20827,565,4,-0.009766012,6.338594078,1.609437912,-0.009718633,8.565756614,2.151813469,5.045600842
20828,494,281,0.217506165,6.204557763,5.641907071,0.19680464,9.899014466,7.220785717,6.501353433
20829,496,207,-0.009670048,6.208590026,5.33753808,-0.009623592,9.858905582,6.838181931,5.046270769
20830,496,48,0.403587346,6.208590026,3.891820298,0.339031349,9.858905582,5.020857848,7.503888874
20831,505,43,0.393775732,6.226536669,3.784189634,0.332016419,9.680390507,4.885561872,7.454441648
20832,494,95,-0.020978245,6.204557763,4.564348191,-0.020761231,9.899014466,5.866251847,4.967763171
20835,531,9,0.006678134,6.276643489,2.302585093,0.006655934,9.181978484,3.023126723,5.161022792
20836,579,18,-0.005472811,6.363028104,2.944438979,-0.00545789,8.322711616,3.829962289,5.075634204
20837,510,13,0.010259513,6.23636959,2.63905733,0.010207241,9.582582544,3.446085551,5.186055439
20838,523,59,-0.001098538,6.261491684,4.094344562,-0.001097935,9.332693332,5.275438809,5.106366895
20839,498,103,-0.050294237,6.212606096,4.644390899,-0.049070351,9.818957778,5.966868677,4.768216291
20840,510,86,-0.086189239,6.23636959,4.465908119,-0.08267546,9.582582544,5.742508806,4.531338754
20845,634,10,0.391496863,6.453624999,2.397895273,0.330380048,7.421545231,3.142935365,7.442907106
20846,503,95,-0.025602938,6.222576268,4.564348191,-0.025280671,9.719784577,5.866251847,4.935906291
20847,504,18,0.167522807,6.224558429,2.944438979,0.154884245,9.70006804,3.829962289,6.205862652
20848,504,7,-0.010613803,6.224558429,2.079441542,-0.010557872,9.70006804,2.742626507,5.039685166
20851,609,11,0.320773294,6.413458957,2.48490665,0.278217394,7.821076434,3.252312087,7.075220125
20854,494,56,-0.012841623,6.204557763,4.043051268,-0.012759869,9.899014466,5.210961122,5.024163613
20856,492,72,-0.028562793,6.200509174,4.290459441,-0.028162481,9.939285734,5.521962921,4.915592833
20857,501,10,0.035968524,6.21860012,2.397895273,0.035336761,9.759335284,3.142935365,5.363189777
20860,504,1,-0.135289907,6.224558429,0.693147181,-0.126888043,9.70006804,1,4.219690669
20861,507,1,-0.187762224,6.230481448,0.693147181,-0.172071053,9.641151838,1,3.901202185
20866,494,106,-0.063979582,6.204557763,4.672828834,-0.062016201,9.899014466,6.00261628,4.676962874
20867,494,75,-0.025487653,6.204557763,4.33073334,-0.025168259,9.899014466,5.572588796,4.936698672
20868,494,40,0.001223837,6.204557763,3.713572067,0.001223088,9.899014466,4.796792814,5.122727449
20869,494,25,0.013587762,6.204557763,3.258096538,0.013496276,9.899014466,4.22424217,5.209239368
20871,503,1,0.127625665,6.222576268,0.693147181,0.120114241,9.719784577,1,5.960773935
20886,496,121,-0.037202228,6.208590026,4.804021045,-0.036526922,9.858905582,6.167530045,4.856633099
20892,496,2,1,6.208590026,1.098612289,0.693147181,9.858905582,1.50968558,10
20893,500,23,0.037178344,6.216606101,3.17805383,0.036503895,9.779169766,4.12362534,5.371416739
20894,663,13,0.304775756,6.498282149,2.63905733,0.266031192,6.977341014,3.446085551,6.989321355
20897,500,26,0.382781624,6.216606101,3.295836866,0.32409714,9.779169766,4.271683246,7.398619803
20898,571,17,0.011593345,6.349138991,2.890371758,0.011526657,8.460866472,3.761997666,5.195355812
20901,498,25,0.054588194,6.212606096,3.258096538,0.053150353,9.818957778,4.22424217,5.488755208
20902,497,59,0.029520088,6.210600077,4.094344562,0.02909276,9.838911626,5.275438809,5.319176721
20903,500,57,0.378386395,6.216606101,4.060443011,0.320913536,9.779169766,5.232823226,7.376179036
20906,509,3,1,6.234410726,1.386294361,0.693147181,9.602067349,1.871313253,10
20910,501,2,0.242619803,6.21860012,1.098612289,0.217221895,9.759335284,1.50968558,6.645271705
20914,491,944,0.272729636,6.198478716,6.851184927,0.241163914,9.959482674,8.740895519,6.814035521
20931,496,73,0.201225239,6.208590026,4.304065093,0.183342068,9.858905582,5.539065761,6.406457719
20932,497,35,0.281976207,6.210600077,3.583518938,0.248402799,9.838911626,4.63331092,6.865061372
20933,623,12,0.129507174,6.436150368,2.564949357,0.121781409,7.595365201,3.352928917,5.97252556
20934,500,42,0.173686643,6.216606101,3.761200116,0.160149772,9.779169766,4.856663144,6.242978584
20935,895,4,0.050430627,6.797940413,1.609437912,0.049200201,3.996643353,2.151813469,5.460911159
20936,496,34,0.118698463,6.208590026,3.555348061,0.112165923,9.858905582,4.59789902,5.904747393
20941,496,29,1,6.208590026,3.401197382,0.693147181,9.858905582,4.404125556,10
20954,500,2,0.015519401,6.216606101,1.098612289,0.015400207,9.779169766,1.50968558,5.222659901
20956,496,85,1,6.208590026,4.454347296,0.693147181,9.858905582,5.727976398,10
20960,494,10,0.071657211,6.204557763,2.397895273,0.069206246,9.899014466,3.142935365,5.601930863
20961,494,218,-0.026771215,6.204557763,5.38907173,-0.026419136,9.899014466,6.902961754,4.927881419
20963,496,214,-0.020838074,6.208590026,5.370638028,-0.020623931,9.858905582,6.879789867,4.968730977
20964,677,2,-0.000938939,6.519147288,1.098612289,-0.000938498,6.769795696,1.50968558,5.107490738
20966,494,99,0.019115647,6.204557763,4.605170186,0.018935239,9.899014466,5.917566699,5.247577828
20967,496,94,0.380948024,6.208590026,4.553876892,0.322770237,9.858905582,5.853089011,7.389266657
20969,496,294,0.021097395,6.208590026,5.686975356,0.020877926,9.858905582,7.277438324,5.26127155
20970,496,255,0.420126661,6.208590026,5.545177444,0.350746065,9.858905582,7.099192774,7.586464209
20971,494,528,-0.028793701,6.204557763,6.270988432,-0.028386951,9.899014466,8.011565717,4.914010574
20972,494,606,-0.049023725,6.204557763,6.408528791,-0.047859946,9.899014466,8.184459355,4.77674826
20973,495,351,-0.008983304,6.206575927,5.863631176,-0.008943194,9.878939808,7.499501633,5.051066799
20974,495,399,-0.018855306,6.206575927,5.991464547,-0.018679748,9.878939808,7.660193206,4.98243524
20975,495,391,-0.013930284,6.206575927,5.97126184,-0.013834149,9.878939808,7.634797609,5.016591164
20977,503,198,-0.05050262,6.222576268,5.293304825,-0.049268736,9.719784577,6.78257899,4.766817906
20978,496,274,-0.030847899,6.208590026,5.616771098,-0.030381666,9.858905582,7.189188811,4.899950119
20979,498,346,-0.026784416,6.212606096,5.84932478,-0.026431992,9.818957778,7.481517931,4.927790798
20980,502,30,-0.029353211,6.22059017,3.433987204,-0.028930655,9.739540273,4.445343652,4.910178088
20981,494,255,-0.034247659,6.204557763,5.545177444,-0.033674263,9.899014466,7.099192774,4.87674108
20982,497,246,-0.032433634,6.210600077,5.509388337,-0.031918766,9.838911626,7.054204459,4.889115323
20983,497,266,-0.008334271,6.210600077,5.587248658,-0.008299733,9.838911626,7.152077944,5.055602466
20984,497,170,0.003771252,6.210600077,5.141663557,0.003764159,9.838911626,6.591959955,5.140639086
20985,496,143,-0.035416853,6.208590026,4.9698133,-0.034804102,9.858905582,6.375937427,4.868777007
20986,496,92,-0.024012351,6.208590026,4.532599493,-0.023728588,9.858905582,5.826342485,4.946846699
20992,498,254,0.004334095,6.212606096,5.541263545,0.00432473,9.818957778,7.094272849,5.144590471
20996,502,224,-0.001381528,6.22059017,5.416100402,-0.001380575,9.739540273,6.936937858,5.104374605
20997,513,31,0.229796652,6.242223265,3.465735903,0.206848832,9.524356096,4.485253014,6.572153488
20998,494,93,-0.064566937,6.204557763,4.543294782,-0.062568085,9.899014466,5.839786884,4.673072725
21000,500,53,0.359819441,6.216606101,3.988984047,0.307351927,9.779169766,5.142996499,7.280585223
21001,500,53,0.342848349,6.216606101,3.988984047,0.294792991,9.779169766,5.142996499,7.192059107
21002,494,86,0.247386734,6.204557763,4.465908119,0.22105075,9.899014466,5.742508806,6.672260745
21003,548,49,0.363247702,6.308098442,3.912023005,0.309869869,8.869096398,5.046253445,7.298333834
21009,500,1,0,6.216606101,0.693147181,0,9.779169766,1,5.114106077
21011,496,2,0.001132634,6.208590026,1.098612289,0.001131993,9.858905582,1.50968558,5.122085331
21012,494,201,-0.030518209,6.204557763,5.308267697,-0.030061791,9.899014466,6.801387909,4.90220487
21014,494,98,-0.010643033,6.204557763,4.59511985,-0.010586794,9.899014466,5.904933032,5.0394813
21015,494,117,-0.008756968,6.204557763,4.770684624,-0.008718848,9.899014466,6.125624854,5.05264818
21018,500,3,-0.047138255,6.216606101,1.386294361,-0.046060972,9.779169766,1.871313253,4.789428969
21025,494,63,0.033388499,6.204557763,4.158883083,0.032843207,9.899014466,5.356566267,5.34561308
21026,494,66,-0.020253332,6.204557763,4.204692619,-0.020050961,9.899014466,5.414150655,4.972769759
21027,494,51,-0.003317686,6.204557763,3.951243719,-0.003312195,9.899014466,5.095555424,5.090758895
21028,494,62,-0.007819683,6.204557763,4.143134726,-0.007789268,9.899014466,5.336769964,5.059200658
21030,494,36,-0.012284938,6.204557763,3.610917913,-0.012210091,9.899014466,4.667752507,5.028038919
21031,494,21,0.048158591,6.204557763,3.091042453,0.047034902,9.899014466,4.014248619,5.445648278
21032,494,32,-0.016150873,6.204557763,3.496507561,-0.016021835,9.899014466,4.523934198,5.001170487
21033,494,379,0.273255733,6.204557763,5.940171253,0.241577189,9.899014466,7.595715518,6.816948639
21034,496,915,-0.028140945,6.208590026,6.820016365,-0.027752264,9.858905582,8.701715411,4.918484393
21035,496,447,0.382044002,6.208590026,6.104793232,0.323563564,9.858905582,7.802651818,7.394858701
21038,494,37,0.058869398,6.204557763,3.63758616,0.057201733,9.899014466,4.701275542,5.517312795
21039,497,106,0.180699933,6.210600077,4.672828834,0.166107426,9.838911626,6.00261628,6.284973229
21040,502,8,0.012262839,6.22059017,2.197224577,0.012188259,9.739540273,2.890684413,5.200019349
21041,496,310,0.110463722,6.208590026,5.739792912,0.104777695,9.858905582,7.343832067,5.852668852
21042,496,142,0.228352732,6.208590026,4.96284463,0.20567403,9.858905582,6.367177535,6.563872476
21043,494,139,0.13765758,6.204557763,4.941642423,0.128971394,9.899014466,6.340525527,6.023206721
21051,502,66,-0.040010663,6.22059017,4.204692619,-0.039230966,9.739540273,5.414150655,4.837572686
21054,496,34,1,6.208590026,3.555348061,0.693147181,9.858905582,4.59789902,10
21055,497,95,0.294475188,6.210600077,4.564348191,0.258105352,9.838911626,5.866251847,6.933453264
21056,496,81,0.2319568,6.208590026,4.406719247,0.208603799,9.858905582,5.668106068,6.584523997
21058,504,126,-0.021231556,6.224558429,4.844187086,-0.021009307,9.70006804,6.218020338,4.96601452
21059,503,100,-0.002383627,6.222576268,4.615120517,-0.002380791,9.719784577,5.930074656,5.097324229
21060,562,72,-0.020834071,6.333279628,4.290459441,-0.02062001,8.618619394,5.521962921,4.96875862
21061,507,100,-0.031642136,6.230481448,4.615120517,-0.031151839,9.641151838,5.930074656,4.894521281
21062,500,79,0.002270043,6.216606101,4.382026635,0.00226747,9.779169766,5.637066483,5.130089145
21063,507,111,-0.032379827,6.230481448,4.718498871,-0.031866649,9.641151838,6.060025311,4.889482692
21064,497,92,0.319885839,6.210600077,4.532599493,0.277545247,9.838911626,5.826342485,7.07048226
21065,497,95,0.124492722,6.210600077,4.564348191,0.11733202,9.838911626,5.866251847,5.941162466
21066,494,58,-0.013151152,6.204557763,4.077537444,-0.013065427,9.899014466,5.254311601,5.022009779
21067,495,105,-0.047211991,6.206575927,4.663439094,-0.046131386,9.878939808,5.990813007,4.788932631
21068,494,216,-0.020322561,6.204557763,5.379897354,-0.020118813,9.899014466,6.891429203,4.972291479
21069,494,102,-0.034310446,6.204557763,4.634728988,-0.033734969,9.899014466,5.954723275,4.876313175
21070,496,114,-0.021378216,6.208590026,4.744932128,-0.021152907,9.858905582,6.093252954,4.965002301
21071,494,186,-0.043054319,6.204557763,5.231108617,-0.042153254,9.899014466,6.704395912,4.816973901
21078,496,378,-0.015656174,6.208590026,5.937536205,-0.015534881,9.858905582,7.59240316,5.004602956
21080,494,1110,0.014585198,6.204557763,7.01301579,0.014479857,9.899014466,8.944323275,5.216172491
21082,505,40,-0.049955115,6.226536669,3.713572067,-0.048747416,9.680390507,4.796792814,4.770492612
21084,492,223,0.01055444,6.200509174,5.411646052,0.010499131,9.939285734,6.931338565,5.188112927
