CustomerID,Recency,Frequency,Profit,R_Log,F_Log,P_Log,R_Norm,F_Norm,P_Norm,Score
12394,75,46,42.4892,4.3175,3.8286,3.7492,4.971,4.8079,5.2748,4.9687
12395,15,153,627.6022,2.7081,5.0304,6.4419,7.7323,6.0031,6.6179,7.275
12397,422,54,104.9433,6.045,3.989,4.6534,2.0071,4.9673,5.7258,2.971
12399,24,62,467.6327,3.1781,4.1271,6.1477,6.9259,5.1047,6.4712,6.5162
12401,167,3,7.2787,5.118,1.0986,1.985,3.5976,2.0926,4.3947,3.3763
12402,208,21,112.6495,5.3375,3.0445,4.7243,3.2209,4.028,5.7611,3.6363
12403,436,4,170.4859,6.0776,1.3863,5.1387,1.9511,2.3788,5.9678,2.4383
12405,535,51,82.7193,6.2823,3.9318,4.4155,1.6,4.9105,5.6071,2.6628
12406,24,151,896.6844,3.1781,5.0173,6.7987,6.9259,5.99,6.7959,6.7257
12408,22,163,1008.3946,3.091,5.0938,6.9161,7.0752,6.0661,6.8545,6.8513
12409,25,106,4308.1088,3.2189,4.6634,8.3683,6.8559,5.6381,7.5788,6.6846
12412,17,86,64.8012,2.8332,4.4543,4.1713,7.5175,5.4302,5.4853,6.8968
12413,126,51,165.3035,4.8363,3.9318,5.1078,4.0809,4.9105,5.9524,4.434
12414,74,31,172.1777,4.3041,3.434,5.1485,4.994,4.4153,5.9728,4.9762
12415,18,829,26268.4576,2.8904,6.7202,10.1761,7.4195,7.6837,8.4807,7.5784
12417,15,164,379.2681,2.7081,5.0999,5.9382,7.7323,6.0722,6.3667,7.2637
12418,499,33,33.3647,6.2126,3.4965,3.5075,1.7196,4.4775,5.1542,2.6146
12420,450,25,157.6877,6.1092,3.2189,5.0606,1.8969,4.2014,5.9289,2.761
12421,15,54,623.1418,2.7081,3.989,6.4348,7.7323,4.9673,6.6144,7.0675
12422,42,44,137.3924,3.7377,3.7842,4.9228,5.9658,4.7637,5.8602,5.7148
12423,11,136,1073.4438,2.3979,4.9127,6.9786,8.2644,5.886,6.8857,7.6509
12425,465,34,10.6471,6.142,3.5264,2.3653,1.8406,4.5072,4.5844,2.6483
12426,581,24,72.3911,6.3648,3.1781,4.2821,1.4585,4.1608,5.5406,2.4072
12427,398,15,434.903,5.9865,2.7081,6.0751,2.1076,3.6934,6.435,2.8575
12428,84,294,993.8685,4.4308,5.6836,6.9016,4.7765,6.6527,6.8472,5.3589
12429,23,125,17612.893,3.1355,4.8283,9.7764,6.9989,5.8021,8.2813,6.8878
12430,430,10,13.5902,6.0638,2.3026,2.6094,1.9749,3.2901,4.7061,2.5111
12431,12,1208,18532.271,2.4849,7.0967,9.8273,8.1151,8.0582,8.3066,8.1229
12432,15,102,5399.4151,2.7081,4.625,8.594,7.7323,5.5999,7.6915,7.3017
12433,11,1491,9492.146,2.3979,7.3072,9.1582,8.2644,8.2675,7.9729,8.2359
12434,18,70,7331.3888,2.8904,4.2485,8.8999,7.4195,5.2254,7.8441,7.0231
12435,112,36,7547.9995,4.7185,3.5835,8.929,4.283,4.5641,7.8586,4.6968
12436,486,15,62.4001,6.1862,2.7081,4.1336,1.7648,3.6934,5.4665,2.5207
12437,47,201,769.5575,3.8501,5.3033,6.6458,5.7728,6.2745,6.7196,5.9678
12438,401,91,669.2243,5.994,4.5109,6.5061,2.0947,5.4864,6.65,3.2285
12441,24,21,30.5789,3.1781,3.0445,3.4203,6.9259,4.028,5.1107,6.1648
12442,390,11,24.2669,5.9661,2.3979,3.1891,2.1424,3.3849,4.9954,2.6762
12444,12,238,3825.4143,2.4849,5.4723,8.2494,8.1151,6.4426,7.5196,7.7211
12445,409,3,21.9166,6.0137,1.0986,3.0872,2.0608,2.0926,4.9445,2.3555
12446,444,56,153.9307,6.0958,4.0254,5.0365,1.9199,5.0035,5.9169,2.9363
12447,84,22,22.0809,4.4308,3.091,3.0947,4.7765,4.0743,4.9483,4.6533
12448,431,19,91.3976,6.0661,2.9444,4.5152,1.9709,3.9285,5.6568,2.731
12449,409,130,185.646,6.0137,4.8675,5.2238,2.0608,5.8411,6.0103,3.2118
12451,61,436,2025.0284,4.1109,6.0776,7.6133,5.3255,7.0447,7.2023,5.857
12452,403,21,57.0859,5.9989,3.0445,4.0446,2.0861,4.028,5.4221,2.8081
12453,521,41,30.4445,6.2558,3.7136,3.4159,1.6455,4.6934,5.1085,2.6014
12454,440,19,3873.4949,6.0868,2.9444,8.2619,1.9354,3.9285,7.5258,2.8931
12455,514,55,101.4898,6.2422,4.0073,4.62,1.6687,4.9856,5.7091,2.7361
12456,97,155,1277.5199,4.5747,5.0434,7.1527,4.5297,6.0161,6.9725,5.0712
12457,75,80,530.0192,4.3175,4.382,6.2729,4.971,5.3582,6.5336,5.2047
12458,458,38,159.955,6.1269,3.6376,5.0749,1.8667,4.6178,5.936,2.8238
12461,541,33,165.4042,6.2934,3.4965,5.1084,1.5809,4.4775,5.9527,2.5974
12462,150,59,987.4978,5.0106,4.0775,6.8952,3.7818,5.0554,6.844,4.3427
12463,27,98,5064.0762,3.2958,4.585,8.5299,6.7238,5.5601,7.6595,6.5846
12464,168,22,851.7721,5.124,3.091,6.7473,3.5873,4.0743,6.7703,4.003
12465,36,72,108.0769,3.5835,4.2767,4.6828,6.2302,5.2535,5.7405,5.9859
12468,161,24,66.1017,5.0814,3.1781,4.1912,3.6603,4.1608,5.4952,3.9439
12471,12,3451,51345.6953,2.4849,8.1464,10.8463,8.1151,9.1022,8.815,8.3825
12472,20,420,8265.0645,2.9957,6.0403,9.0198,7.2387,7.0075,7.9039,7.259
12473,440,131,50.745,6.0868,4.8752,3.9268,1.9354,5.8487,5.3633,3.0609
12474,18,490,576.8189,2.8904,6.1944,6.3575,7.4195,7.1608,6.5758,7.2834
12475,440,32,23.3138,6.0868,3.4657,3.149,1.9354,4.4469,4.9754,2.7417
12476,19,171,2334.4397,2.9444,5.1417,7.7555,7.3267,6.1138,7.2732,7.0788
12477,81,376,4095.48,4.3944,5.9296,8.3176,4.8389,6.8974,7.5536,5.5221
12478,390,29,27.8275,5.9661,3.3673,3.326,2.1424,4.349,5.0636,2.8758
12480,114,145,597.9406,4.7362,4.9767,6.3935,4.2526,5.9497,6.5938,4.8261
12481,12,251,6614.8749,2.4849,5.5255,8.7971,8.1151,6.4955,7.7928,7.759
12483,40,103,1718.3645,3.6889,4.6347,7.4491,6.0495,5.6096,7.1204,6.0686
12484,17,317,1417.5841,2.8332,5.7589,7.2567,7.5175,6.7276,7.0244,7.3102
12488,462,20,392.5276,6.1356,2.9957,5.9726,1.8517,3.9795,6.3838,2.7305
12489,179,15,1317.2297,5.1874,2.7081,7.1833,3.4785,3.6934,6.9878,3.8724
12490,30,253,839.0874,3.4012,5.5334,6.7323,6.5431,6.5034,6.7628,6.5571
12491,425,22,2.8638,6.0521,3.091,1.0521,1.9949,4.0743,3.9294,2.6043
12492,450,19,27.5345,6.1092,2.9444,3.3154,1.8969,3.9285,5.0584,2.6193
12493,18,31,273.7441,2.8904,3.434,5.6122,7.4195,4.4153,6.204,6.6971
12494,16,54,285.7762,2.7726,3.989,5.6552,7.6216,4.9673,6.2255,6.9511
12497,468,13,18.8188,6.1485,2.5649,2.9349,1.8296,3.551,4.8685,2.4778
12498,408,19,161.6735,6.0113,2.9444,5.0856,2.065,3.9285,5.9414,2.8253
12500,25,59,266.1144,3.2189,4.0775,5.5839,6.8559,5.0554,6.1899,6.4292
12501,178,151,785.74,5.1818,5.0173,6.6666,3.4881,5.99,6.73,4.3127
12502,101,162,525.5451,4.6151,5.0876,6.2644,4.4603,6.06,6.5294,4.9872
12506,94,46,136.1643,4.5433,3.8286,4.9139,4.5836,4.8079,5.8557,4.7556
12507,140,29,315.7062,4.9416,3.3673,5.7548,3.9001,4.349,6.2752,4.2274
12508,413,62,138.3761,6.0234,4.1271,4.93,2.0441,5.1047,5.8637,3.0382
12509,671,6,8.2221,6.5088,1.7918,2.1068,1.2114,2.782,4.4555,1.85
12510,171,30,1146.3573,5.1417,3.4012,7.0443,3.557,4.3827,6.9184,4.0583
12515,11,26,475.451,2.3979,3.2581,6.1643,8.2644,4.2404,6.4794,7.2811
12517,415,191,199.5974,6.0283,5.2523,5.2963,2.0358,6.2238,6.0465,3.2745
12518,415,98,176.5492,6.0283,4.585,5.1736,2.0358,5.5601,5.9853,3.1356
12519,450,16,2585.1497,6.1092,2.7726,7.8575,1.8969,3.7575,7.3241,2.8117
12520,74,231,1074.0401,4.3041,5.4424,6.9792,4.994,6.4129,6.8859,5.467
12521,529,35,70.7571,6.271,3.5553,4.2593,1.6194,4.5361,5.5292,2.5937
12523,112,76,595.3104,4.7185,4.3307,6.3891,4.283,5.3072,6.5916,4.7187
12524,54,116,309.1845,3.989,4.7536,5.7339,5.5346,5.7278,6.2648,5.6463
12527,211,15,11.1258,5.3519,2.7081,2.4093,3.1963,3.6934,4.6063,3.4367
12528,158,105,438.6688,5.0626,4.654,6.0837,3.6926,5.6287,6.4393,4.3545
12530,76,72,32.9012,4.3307,4.2767,3.4935,4.9483,5.2535,5.1472,5.0292
12531,401,17,11.8348,5.994,2.8332,2.471,2.0947,3.8178,4.6372,2.6936
12532,417,14,14.2804,6.0331,2.6391,2.6589,2.0276,3.6247,4.7309,2.6173
12534,517,61,60.7063,6.248,4.1109,4.106,1.6588,5.0886,5.4527,2.7241
12535,478,32,248.4748,6.1696,3.4657,5.5153,1.7933,4.4469,6.1557,2.7603
12536,394,256,397.2201,5.9764,5.5452,5.9845,2.1249,6.5151,6.3898,3.4294
12539,111,387,3853.2204,4.7095,5.9584,8.2567,4.2984,6.9261,7.5232,5.1464
12540,19,522,47523.4063,2.9444,6.2577,10.769,7.3267,7.2237,8.7764,7.4511
12541,21,20,1.9776,3.0445,2.9957,0.6819,7.155,3.9795,3.7447,6.1789
12544,423,17,13.9043,6.0474,2.8332,2.6322,2.003,3.8178,4.7175,2.6375
12545,106,76,163.3723,4.6634,4.3307,5.096,4.3774,5.3072,5.9466,4.7203
12546,453,42,60.5806,6.1159,3.7377,4.104,1.8855,4.7174,5.4517,2.8085
12548,11,8,2.2244,2.3979,2.0794,0.7995,8.2644,3.0682,3.8033,6.7791
12550,466,55,153.1828,6.1442,4.0073,5.0316,1.8369,4.9856,5.9144,2.8744
12551,15,18,135.2376,2.7081,2.8904,4.907,7.7323,3.8747,5.8523,6.7728
12556,437,107,143.7576,6.0799,4.6728,4.9681,1.9472,5.6475,5.8828,3.0808
12557,140,37,18013.665,4.9416,3.6109,9.7989,3.9001,4.5913,8.2925,4.4776
12558,388,18,6.644,5.961,2.8904,1.8937,2.1512,3.8747,4.3492,2.7157
12559,173,39,96.7334,5.1533,3.6636,4.572,3.537,4.6437,5.6852,3.9732
12562,18,161,531.5644,2.8904,5.0814,6.2758,7.4195,6.0538,6.5351,7.0579
12564,103,20,9.8314,4.6347,2.9957,2.2856,4.4267,3.9795,4.5446,4.349
12567,21,424,7449.382,3.0445,6.0497,8.9159,7.155,7.0169,7.852,7.1971
12569,27,184,1390.1776,3.2958,5.2149,7.2372,6.7238,6.1866,7.0146,6.6455
12572,395,58,109.0222,5.9789,4.0604,4.6916,2.1205,5.0384,5.7448,3.0665
12573,71,51,366.7044,4.2627,3.9318,5.9046,5.065,4.9105,6.3499,5.1626
12574,160,9,115.8889,5.0752,2.1972,4.7526,3.671,3.1853,5.7753,3.7843
12578,172,175,518.3131,5.1475,5.1648,6.2506,3.547,6.1368,6.5225,4.3625
12579,460,29,21.7517,6.1312,3.3673,3.0797,1.8592,4.349,4.9408,2.6653
12580,92,46,2451.9878,4.5218,3.8286,7.8047,4.6205,4.8079,7.2977,4.9257
12583,18,1136,7781.6156,2.8904,7.0353,8.9595,7.4195,7.9971,7.8738,7.5804
12584,390,78,563.434,5.9661,4.3567,6.3341,2.1424,5.3331,6.5641,3.2227
12585,9,165,2172.0823,2.1972,5.1059,7.6834,8.6087,6.0782,7.2372,7.9655
12586,404,11,46.1345,6.0014,2.3979,3.8316,2.0819,3.3849,5.3158,2.6659
12587,394,3,0.2711,5.9764,1.0986,-1.3051,2.1249,2.0926,2.7535,2.1813
12589,415,31,159.7278,6.0283,3.434,5.0735,2.0358,4.4153,5.9353,2.9017
12590,54,128,1481.0079,3.989,4.852,7.3005,5.5346,5.8257,7.0462,5.744
12591,164,48,102.689,5.0999,3.8712,4.6317,3.6287,4.8502,5.715,4.0816
12592,62,26,6.5766,4.1271,3.2581,1.8835,5.2976,4.2404,4.3441,4.9908
12594,75,120,153.386,4.3175,4.7875,5.033,4.971,5.7615,5.9151,5.2235
12596,84,34,3.2158,4.4308,3.5264,1.1681,4.7765,4.5072,3.9872,4.6437
12597,26,252,725.5274,3.2581,5.5294,6.5869,6.7886,6.4994,6.6903,6.7209
12598,70,103,162.9792,4.2485,4.6347,5.0936,5.0894,5.6096,5.9454,5.279
12599,18,70,1527.5214,2.8904,4.2485,7.3314,7.4195,5.2254,7.0616,6.9449
12601,91,31,22.294,4.5109,3.434,3.1043,4.6392,4.4153,4.9531,4.6258
12602,445,12,2.7078,6.0981,2.4849,0.9961,1.9161,3.4714,3.9014,2.4257
12603,408,1,2.2459,6.0113,0,0.8091,2.065,1,3.8081,2.0263
12605,23,4,6.2005,3.1355,1.3863,1.8246,6.9989,2.3788,4.3147,5.8065
12607,445,63,63.5238,6.0981,4.1431,4.1514,1.9161,5.1206,5.4754,2.9129
12609,159,70,946.5338,5.0689,4.2485,6.8528,3.6818,5.2254,6.8229,4.3046
12611,439,63,111.0854,6.0845,4.1431,4.7103,1.9393,5.1206,5.7542,2.9571
12612,461,17,68.8034,6.1334,2.8332,4.2313,1.8554,3.8178,5.5152,2.6139
12613,104,188,2464.3014,4.6444,5.2364,7.8097,4.4101,6.208,7.3002,5.0587
12614,664,19,31.8308,6.4983,2.9444,3.4604,1.2294,3.9285,5.1307,2.1594
12616,482,33,212.9075,6.1779,3.4965,5.3609,1.779,4.4775,6.0787,2.7487
12617,416,38,5.0577,6.0307,3.6376,1.6209,2.0317,4.6178,4.2131,2.767
12618,408,8,43.4615,6.0113,2.0794,3.7719,2.065,3.0682,5.286,2.5877
12620,50,122,529.3644,3.912,4.804,6.2717,5.6666,5.7779,6.533,5.7755
12621,15,587,3024.2219,2.7081,6.375,8.0144,7.7323,7.3404,7.4023,7.6209
12622,86,19,59.86,4.4543,2.9444,4.092,4.7362,3.9285,5.4457,4.6456
12623,663,15,4.9476,6.4968,2.7081,1.5989,1.232,3.6934,4.2021,2.0213
12625,52,161,882.2523,3.9512,5.0814,6.7825,5.5993,6.0538,6.7878,5.8091
12626,167,331,1297.9541,5.118,5.8021,7.1685,3.5976,6.7706,6.9804,4.5705
12627,397,182,154.1032,5.9839,5.204,5.0376,2.1119,6.1758,5.9174,3.3052
12628,391,40,39.8453,5.9687,3.6889,3.685,2.138,4.6689,5.2427,2.9546
12630,430,33,73.7654,6.0638,3.4965,4.3009,1.9749,4.4775,5.5499,2.8329
12631,444,30,3172.1455,6.0958,3.4012,8.0622,1.9199,4.3827,7.4262,2.9631
12633,445,94,167.5385,6.0981,4.5433,5.1212,1.9161,5.5186,5.9591,3.0409
12635,476,95,71.7511,6.1654,4.5539,4.2732,1.8005,5.5292,5.5361,2.9198
12637,86,499,2103.1583,4.4543,6.2126,7.6512,4.7362,7.1789,7.2212,5.4732
12638,420,37,36.3046,6.0403,3.6109,3.5919,2.0153,4.5913,5.1963,2.8486
12639,80,40,224.3248,4.382,3.6889,5.4131,4.8603,4.6689,6.1047,4.9464
12640,410,44,53.443,6.0162,3.7842,3.9786,2.0566,4.7637,5.3892,2.9313
12643,46,31,119.3884,3.8286,3.434,4.7824,5.8097,4.4153,5.7901,5.5289
12644,516,30,10.9633,6.2461,3.4012,2.3946,1.6621,4.3827,4.599,2.4999
12646,436,23,90.0198,6.0776,3.1355,4.5,1.9511,4.1185,5.6493,2.7544
12647,15,114,1288.455,2.7081,4.7362,7.1612,7.7323,5.7105,6.9767,7.2524
12649,56,46,150.3937,4.0254,3.8286,5.0133,5.4722,4.8079,5.9053,5.3826
12650,390,19,0.9323,5.9661,2.9444,-0.0701,2.1424,3.9285,3.3696,2.6223
12651,175,9,18.8647,5.1648,2.1972,2.9373,3.5173,3.1853,4.8697,3.5861
12652,174,86,313.5428,5.1591,4.4543,5.7479,3.5271,5.4302,6.2718,4.1822
12654,397,33,57.109,5.9839,3.4965,4.045,2.1119,4.4775,5.4223,2.916
12656,54,142,745.2631,3.989,4.9558,6.6137,5.5346,5.9289,6.7036,5.7304
12657,398,45,283.6241,5.9865,3.8067,5.6476,2.1076,4.786,6.2217,3.0547
12658,405,32,187.1186,6.0039,3.4657,5.2317,2.0776,4.4469,6.0143,2.9452
12662,92,140,124.1535,4.5218,4.9416,4.8215,4.6205,5.9148,5.8096,4.9983
12664,121,25,1047.7169,4.7958,3.2189,6.9544,4.1504,4.2014,6.8736,4.4329
12665,168,2,2.0918,5.124,0.6931,0.738,3.5873,1.6894,3.7727,3.2263
12666,17,4,2.7843,2.8332,1.3863,1.024,7.5175,2.3788,3.9153,6.1296
12668,13,245,1332.1932,2.5649,5.5013,7.1946,7.9778,6.4714,6.9934,7.5781
12669,97,160,326.2492,4.5747,5.0752,5.7877,4.5297,6.0476,6.2916,5.0095
12670,74,93,376.1912,4.3041,4.5326,5.9301,4.994,5.508,6.3626,5.2337
12674,21,117,1653.7165,3.0445,4.7622,7.4108,7.155,5.7363,7.1012,6.8659
12676,156,44,329.6466,5.0499,3.7842,5.798,3.7145,4.7637,6.2967,4.1825
12679,130,48,132.3933,4.8675,3.8712,4.8858,4.0273,4.8502,5.8417,4.3733
12681,12,756,3984.0369,2.4849,6.628,8.2901,8.1151,7.5921,7.5398,7.953
12682,13,1375,10346.7807,2.5649,7.2262,9.2444,7.9778,8.187,8.0159,8.0234
12683,23,392,1694.5319,3.1355,5.9713,7.4352,6.9989,6.9389,7.1134,6.9984
12684,12,140,191.7207,2.4849,4.9416,5.256,8.1151,5.9148,6.0264,7.4662
12685,415,149,307.6031,6.0283,5.0039,5.7288,2.0358,5.9768,6.2622,3.2466
12688,500,163,1505.3145,6.2146,5.0938,7.3168,1.7161,6.0661,7.0543,3.1199
12689,412,68,61.2657,6.021,4.2195,4.1152,2.0482,5.1966,5.4573,3.0188
12690,48,16,852.9458,3.8712,2.7726,6.7487,5.7367,3.7575,6.771,5.4443
12691,15,36,7.7721,2.7081,3.5835,2.0505,7.7323,4.5641,4.4274,6.7681
12693,52,59,1097.1138,3.9512,4.0775,7.0004,5.5993,5.0554,6.8965,5.6203
12695,72,26,155.6772,4.2767,3.2581,5.0478,5.041,4.2404,5.9225,4.969
12697,12,58,430.0045,2.4849,4.0604,6.0638,8.1151,5.0384,6.4293,7.3312
12700,59,238,230.6585,4.0775,5.4723,5.4409,5.3827,6.4426,6.1186,5.6682
12701,86,37,43.4049,4.4543,3.6109,3.7706,4.7362,4.5913,5.2854,4.7621
12704,12,67,175.2955,2.4849,4.2047,5.1665,8.1151,5.1819,5.9817,7.3151
12705,15,375,582.5792,2.7081,5.9269,6.3675,7.7323,6.8948,6.5808,7.4496
12708,23,171,235.27,3.1355,5.1417,5.4607,6.9989,6.1138,6.1285,6.7348
12709,15,218,781.1227,2.7081,5.3845,6.6607,7.7323,6.3553,6.7271,7.3564
12710,548,46,91.662,6.3063,3.8286,4.5181,1.5588,4.8079,5.6583,2.6186
12712,23,171,4789.9897,3.1355,5.1417,8.4743,6.9989,6.1138,7.6317,6.8852
12714,20,246,1803.646,2.9957,5.5053,7.4976,7.2387,6.4755,7.1445,7.0766
12716,390,66,41.8294,5.9661,4.1897,3.7336,2.1424,5.1669,5.267,3.0598
12718,458,19,0.9896,6.1269,2.9444,-0.0104,1.8667,3.9285,3.3993,2.4323
12719,446,17,15.3849,6.1003,2.8332,2.7334,1.9122,3.8178,4.768,2.5789
12720,15,359,2538.5318,2.7081,5.8833,7.8393,7.7323,6.8514,7.315,7.5144
12721,12,209,591.4322,2.4849,5.3423,6.3825,8.1151,6.3133,6.5883,7.6021
12722,472,24,135.5418,6.157,3.1781,4.9093,1.815,4.1608,5.8534,2.688
12723,390,69,274.1095,5.9661,4.2341,5.6135,2.1424,5.2111,6.2047,3.1624
12724,55,57,478.0078,4.0073,4.0431,6.1696,5.5031,5.0211,6.4821,5.5046
12725,758,24,239.4628,6.6307,3.1781,5.4784,1.0023,4.1608,6.1373,2.1475
12727,173,86,111.4817,5.1533,4.4543,4.7139,3.537,5.4302,5.7559,4.1375
12728,100,52,16.3613,4.6052,3.9512,2.7949,4.4774,4.9298,4.7987,4.6
12731,21,367,3708.2806,3.0445,5.9054,8.2183,7.155,6.8733,7.5041,7.1336
12732,30,11,4.1396,3.4012,2.3979,1.4206,6.5431,3.3849,4.1132,5.6684
12733,99,44,163.928,4.5951,3.7842,5.0994,4.4947,4.7637,5.9483,4.6938
12734,10,7,58.9789,2.3026,1.9459,4.0772,8.4279,2.9353,5.4383,7.0305
12736,246,6,43.6782,5.5053,1.7918,3.7768,2.933,2.782,5.2885,3.1384
12738,759,11,175.6223,6.632,2.3979,5.1683,1,3.3849,5.9826,1.9752
12739,465,37,99.9129,6.142,3.6109,4.6043,1.8406,4.5913,5.7013,2.7768
12740,450,27,8.4985,6.1092,3.2958,2.1399,1.8969,4.2779,4.472,2.6306
12743,521,126,101.4865,6.2558,4.8363,4.6199,1.6455,5.81,5.7091,2.8848
12747,17,98,975.7192,2.8332,4.585,6.8832,7.5175,5.5601,6.8381,7.0581
12748,8,4678,25238.9984,2.0794,8.4506,10.1361,8.8108,9.4048,8.4607,8.8946
12749,54,226,457.9657,3.989,5.4205,6.1268,5.5346,6.3911,6.4607,5.7985
12750,515,15,98.6096,6.2442,2.7081,4.5912,1.6654,3.6934,5.6947,2.4739
12752,468,52,1099.0532,6.1485,3.9512,7.0022,1.8296,4.9298,6.8974,2.9564
12755,23,6,8.8687,3.1355,1.7918,2.1825,6.9989,2.782,4.4932,5.905
12756,473,4,0.9875,6.1591,1.3863,-0.0126,1.8114,2.3788,3.3982,2.0835
12757,52,392,1077.3858,3.9512,5.9713,6.9823,5.5993,6.9389,6.8875,5.9961
12758,503,97,65.4133,6.2206,4.5747,4.1807,1.7059,5.5499,5.49,2.8531
12759,15,117,681.0238,2.7081,4.7622,6.5236,7.7323,5.7363,6.6587,7.2257
12763,525,17,957.6112,6.2634,2.8332,6.8644,1.6324,3.8178,6.8287,2.5891
12764,162,74,2410.2766,5.0876,4.3041,7.7875,3.6497,5.2807,7.2892,4.3399
12766,24,350,1483.1283,3.1781,5.8579,7.3019,6.9259,6.8261,7.0469,6.918
12769,81,59,255.0664,4.3944,4.0775,5.5415,4.8389,5.0554,6.1688,5.0152
12775,107,68,427.913,4.6728,4.2195,6.0589,4.3613,5.1966,6.4269,4.7349
12779,89,199,2667.1797,4.4886,5.2933,7.8888,4.6773,6.2646,7.3397,5.261
12781,408,26,35.9247,6.0113,3.2581,3.5814,2.065,4.2404,5.191,2.8127
12782,15,129,749.689,2.7081,4.8598,6.6197,7.7323,5.8334,6.7066,7.2499
12783,389,72,55.1371,5.9636,4.2767,4.0098,2.1468,5.2535,5.4047,3.0939
12785,22,24,971.3905,3.091,3.1781,6.8787,7.0752,4.1608,6.8358,6.4684
12787,478,12,1.0845,6.1696,2.4849,0.0812,1.7933,3.4714,3.445,2.2941
12790,579,21,77.8595,6.3613,3.0445,4.3549,1.4644,4.028,5.5769,2.3884
12792,102,47,289.2211,4.625,3.8501,5.6672,4.4434,4.8293,6.2315,4.6994
12793,177,23,101.8201,5.1761,3.1355,4.6232,3.4978,4.1185,5.7107,3.8432
12794,485,20,20.3819,6.1841,2.9957,3.0146,1.7684,3.9795,4.9083,2.5246
12795,405,12,18.8812,6.0039,2.4849,2.9382,2.0776,3.4714,4.8702,2.6357
12802,570,1,0.2133,6.3456,0,-1.5449,1.4913,1,2.6339,1.5073
12808,38,27,59.4282,3.6376,3.2958,4.0848,6.1375,4.2779,5.4421,5.696
12809,21,46,230.5166,3.0445,3.8286,5.4403,7.155,4.8079,6.1183,6.5819
12811,102,28,23.8733,4.625,3.3322,3.1728,4.4434,4.3141,4.9872,4.4719
12812,431,13,36.5715,6.0661,2.5649,3.5993,1.9709,3.551,5.1999,2.6098
12815,534,43,82.2567,6.2804,3.7612,4.4098,1.6032,4.7408,5.6043,2.6309
12816,28,25,190.1989,3.3322,3.2189,5.2481,6.6614,4.2014,6.0224,6.1055
12820,178,66,40.2078,5.1818,4.1897,3.6941,3.4881,5.1669,5.2472,3.9998
12821,59,6,26.3622,4.0775,1.7918,3.2719,5.3827,2.782,5.0367,4.8279
12822,457,8,2.7119,6.1247,2.0794,0.9977,1.8704,3.0682,3.9022,2.3131
12823,174,4,3.7729,5.1591,1.3863,1.3278,3.5271,2.3788,4.0669,3.3514
12824,446,25,1.4963,6.1003,3.2189,0.403,1.9122,4.2014,3.6055,2.5394
12826,23,125,372.8185,3.1355,4.8283,5.9211,6.9989,5.8021,6.3581,6.6955
12827,419,19,55.8453,6.0379,2.9444,4.0226,2.0193,3.9285,5.4111,2.7403
12831,108,17,14.3821,4.6821,2.8332,2.666,4.3454,3.8178,4.7344,4.2788
